clip_id,your_label,auto_label,confidence,text_model_label,text_conf,acoustic_label,acoustic_conf,word_count,transcript
clip_1217,Frustrated,High Stress,0.3,Calm,0.3633,High Stress,0.75,92,"I wasn't very too fast, I could see everything, so I took a telegram, took a few minutes, what else do you want me to see? I was aware I told some yellow flag, so I could see it, and also down the straight, it's not my problem if I have a TIS, I cannot lift that, it's just a person. Understood, the penalty would not be changed. Keep breath, stay focused, I don't want any arm waving or anything, okay? Move out, move out. Make a way on the way."
clip_1218,Frustrated,High Stress,0.3,Frustrated,0.3998,High Stress,0.75,116,"Oh, fuck. That's a good idea. I'm gonna go back to the car. You guys have to be crazy. I'm gonna go back to the car. I'm gonna go back to the car. I'm gonna go back to the car. I'm gonna go back to the car. I'm gonna go back to the car. I'm gonna go back to the car. I'm gonna go back to the car. I'm gonna go back to the car. I'm gonna go back to the car. I'm gonna go back to the car. I'm gonna go back to the car. I'm gonna go back to the car."
clip_1220,Frustrated,Frustrated,0.4962,Frustrated,0.827,High Stress,0.7,24,"I need a fucking rifle, no fucking rifle! No fucking rifle! What the fuck is it for life? Fuck it, Al! Fuck it, Al!"
clip_1221,Frustrated,High Stress,0.3,Frustrated,0.488,High Stress,0.75,38,"I cannot believe it. Plot engine! Plot engine! I understand, Roman. Very sorry. But it's the same issue as we had in P3. I don't care. I don't care. It's too much. Yeah, of course. Of course. Bon es-ci!"
clip_1222,High Stress,Calm,0.5618,Calm,0.9363,High Stress,0.75,28,"That's exactly the same, how about the last year? Generally it's a test of cake, it's it. He's talking about when... Let's just get back in the rhythm."
clip_1226,Frustrated,Frustrated,0.3952,Frustrated,0.6587,High Stress,0.7,29,"Okay, you push me off the track, I think you have to leave a space. All the time you have to leave a space. Okay? It's really hard now."
clip_1227,Frustrated,Frustrated,0.4515,Frustrated,0.7524,High Stress,0.7,11,This is c**k out the house! This is s**t!
clip_1230,Frustrated,High Stress,0.28,Frustrated,0.3658,High Stress,0.7,45,"Okay, copy that. This is unacceptable. This is unbelievable. Unbelievable. Unbelievable. Unacceptable. What the f*** are we doing here? We want people to do anything to f*** this thing. What a stupid action. I'm going home. We need to know if you need a phone."
clip_1231,Frustrated,Frustrated,0.4383,Frustrated,0.7305,High Stress,0.75,9,Why can't you be damn good at it too?
clip_1232,Frustrated,Frustrated,0.5484,Frustrated,0.9141,High Stress,0.75,29,"Tell me if you need it somewhere. Yes, I don't know. I'm the cause and I can't pass. What the fuck did I do this? What a fucking idiot!"
clip_1233,Frustrated,Frustrated,0.4672,Frustrated,0.7786,High Stress,0.75,12,"How the f*** is that fucking blood, though? How is that possible?"
clip_1234,Frustrated,Frustrated,0.3375,Frustrated,0.5625,High Stress,0.75,106,"F1 drivers are trained to stay calm, right? Well, not always. All the time you have to live in place. These are F1's most disrespectful radio moments. Shall we clear? No! Let's start with some lighter ones to warm up. You know when you'd try to be chill with someone? But somehow you only ever run into each other at the worst possible moments. Yeah, that was Leclerc and Magnuson in 2018. That year those two seemed to run into each other on track all the time. And no, not exactly in the best possible way. Their first run in happened in Spain, when Magnuson blocked Leclerc and in..."
clip_1235,Frustrated,Frustrated,0.3308,Frustrated,0.5513,High Stress,0.7,92,"sent him into rage mode. So it's not that bad, right? Well, just wait until you see what happens later in Japan, because Leclerc completely let it all out. And honestly, during this time in F1, Magnuson was definitely one of their drivers who caused the most chaos, and picked up the most, let's say, little gifts over the radio. Magnuson was one of those drivers who could be insanely fast when he won it. But he always came out with that kamikaze side, which, let's be honest, made the races way more..."
clip_1236,Frustrated,Calm,0.54,Calm,0.9,High Stress,0.75,94,"sighting, the Dane also had plenty of radio exchanges with none other than the father of us all. The first one came in Malaysia 27c when they were fighting on track. To defend himself against Alonso Alonso waits for him to finally pick his position, dives down the inside, Magnuson then fights him back and they do touch and in the end Kevin Magnuson has to yield there. And I'm pretty sure you already know what Hulk said to him. Well those weren't the only messages Nano had for K-Mag because the following year at silver..."
clip_1237,Frustrated,Frustrated,0.39,Frustrated,0.65,High Stress,0.75,85,"was done, they crossed paths again. And even though Alonso started off calm, he ended up exposing him in front of everyone. One who never wasted the time explaining why he was sending each little gift… Juan Pablo Montoya. If he had something to say, he said he's straight. You gotta either be blind or stupid, they're not to me, but it's racing. Reichen learned the hard way in Spa 2002 when he didn't even have time to get out of Montoya's way in qualifying."
clip_1238,High Stress,High Stress,0.3,Frustrated,0.4087,High Stress,0.75,59,"Another guy who absolutely never keeps his mouth shut is Alonso. And I'm not talking about when a rookie or some random driver annoys him. No, no, no. Alonso goes for everyone. Even Sir Lewis Hamilton himself. At Spa 2022 after they touched on Lap 1, Fernando dropped one of the most disrespectful lines you can possibly say to another driver."
clip_1239,High Stress,High Stress,0.4863,High Stress,0.3438,High Stress,0.7,122,"Wow, now that's the kind of radio I live for. Savage, painful and full of spice. Just like what I'd say to you if I knew you weren't following the channel. And yeah, later Alonso tried to play it down. Heat at the moment, blah blah blah. But let's be honest, the damage was already done. And speaking of damage, let me introduce today's sponsor, Carvertical. If everyone has taught us anything, it's that data matters. And when it comes to buying a used car, it really matters. Carvertical is a service that lets you check a car's full history using the VIN number. They gather and process data from over 900 global sources across more than 25 countries, in turn, are very complex."
clip_1240,Frustrated,Calm,0.5723,Calm,0.9538,High Stress,0.7,126,"process into a report that's actually easy to understand. Using a car vertical report, you can see if a car has had previous damage, if the mileage was rolled back, whether it was stolen and what equipment originally came with it. In some cases, you can even see photos of the car after an accident. The car looks fine today, but the report clearly shows accident history, mileage issues and damaged photos. The kind of details sellers don't usually bring up on their own. If you buy a car vertical report and it comes back without any findings, your credits are automatically refunded, so there's no risk. So before you buy a used car and get an unpleasant surprise later, make sure you check it first."
clip_1241,Calm,Calm,0.5251,Calm,0.8752,High Stress,0.7,97,"Use my code daily fuel up to get 20% off your car vertical report. The link is in the description and ping comment and it automatically applies to discount. Coming back to the video, at this point you already know Alonso on the radio is built different. The man hasn't exactly made a lot of friends over the years. One of his most memorable victims was Jolly and Palmer in Italy 2017 when they had a little on track running. And this is what he said when he later found out that the Brits had retired from the race."
clip_1243,High Stress,High Stress,0.3,Frustrated,0.4207,High Stress,0.75,45,"Or the moment when he just completely stopped caring about whatever they were telling him. My absolute favourite, Hungry28. By then he was so fed up with the team that he just didn't give a damn about anything he just roasted his engineer left and right."
clip_1244,Frustrated,Frustrated,0.3209,Frustrated,0.5348,High Stress,0.75,85,"Seriously, if you were an engineer or a mechanic, how do you even go to bed that night after that? I mean, okay, at least with drivers, in the heat of the moment they can lose their temper and say things they shouldn't. But what if the one insulting you is a team principal? And obviously, for this to happen you have to be none other than Nikita Mazupin. At the 2021 Spanish GP, he got absolutely cooked by none other than Toto Wolff, like this."
clip_1245,Frustrated,Frustrated,0.3577,Frustrated,0.5962,High Stress,0.75,57,"But honestly, compared to what people were saying about him while he was in F1, that was actually pretty mild, because literally the entire group complained about him all the time. Mazepin even managed to completely snap Giovanni. Even the one and only, go Tee-Fee. Perez. Leclerc. And even Strulovic. And yep, when go Tee-Fee and Stroll are insulting you."
clip_1246,Frustrated,Calm,0.5672,Calm,0.9453,High Stress,0.7,80,"Now, I think it's safe to say your future is officially buried. But Mazepin wasn't and won't be the only one wanted out of the way. Back in China 2015, when Rykanen was trying to get past him at Clarence, he didn't hide anything on the radio. Obviously Kimi never kept anything to himself, and if he had something to say, he said it. In that same spirit, we can see it today with Max, who also doesn't hold anything back."
clip_1247,Frustrated,Calm,0.4079,Calm,0.6799,High Stress,0.7,69,"This is not just his rivals that catch the smoke, his own team does too when they mess it up, like in Austin 2021 after a painfully slow pit stop. Or even himself, like in Singapore 2025 when he messed up the gears and just went off on the radio. And following Max's example, there's one guy we're really gonna miss, Sunoda. Seriously, the Japanese lad doesn't let anything slide."
clip_1248,Frustrated,Frustrated,0.5216,Frustrated,0.8693,High Stress,0.75,57,"How can we ever forget when he got slapped with a 40,000 euro fine for saying this in Austria? Honestly, I think I've heard Yuki's radio get censored more times than not, and I think the worst part isn't even how disrespectful he can be to his rivals. I think the real victim is his own race engineer."
clip_1251,Frustrated,Frustrated,0.4262,Frustrated,0.7104,High Stress,0.7,79,"Even though Leclerc was leading, the pitch strategy actually favoured Sines, who was on much fresher tyres. But of course, seconds before the restart, the Prancing Horse engineers jumped on the radio and told Sines to leave a gap to Leclerc and defend. If he'd actually followed that masterpiece of a plan, the Mercedes and the Red Bull would have chewed up both Ferraris and spat him out. And that's when Carlos dropped this absolute banger on the radio."
clip_1252,Frustrated,Frustrated,0.4902,Frustrated,0.817,High Stress,0.75,92,"Roast in his own team, and proven once again just how clueless they were. Disrespectful towards his own team, too honest, call it whatever you want. That's how he ended up getting his first F1 win. Once again leaving Ferrari looking silly. Because sure, one thing is disrespect in your own team, however you want to labour them. But going against your own teammate, yeah, it doesn't get much worse than that. Awkward doesn't even begin to cover it. And that's exactly what we got with Vettel and Weber at Red Bull. Turkey twi-"
clip_1253,Frustrated,High Stress,0.28,Frustrated,0.4244,High Stress,0.7,64,"2010, both fighting for the win until, boom, this happened. And while Weber managed to keep going in stay calm, Vettel was out of the race and absolutely lost his mind on the radio. Now sure, the most disrespectful radios are usually the ones full of swearing and screaming, but honestly, sometimes the most soul-crushing ones are the subtle ones and the ultimate example is Germany 2010."
clip_1254,High Stress,Frustrated,0.4379,Frustrated,0.7299,High Stress,0.7,93,"Alonso was leading, Ferrari wanted Alonso to win to boost a title fight, and they had to tell the Brazilian to get out of the way. Like this. Cold, brutal, zero vibes. Masa accepted it, but not without making a point. He slowed down on the straight so everyone in their grand mar can see that this wasn't a real overtake, but a straight up team order. Alonso obviously went on to win the race, and just to make it even better, team orders were actually illegal back then, which is why Ferrari..."
clip_1255,Frustrated,Frustrated,0.4542,Frustrated,0.757,High Stress,0.7,97,"tried to be all sneaky about it. Of course, the FIA investigated, confirmed Ferrari had broken the rules and slapped them with a $100,000 fine. And because F1 logic is undefeated, by the end of the season the FIA went, eh whatever, and made Team Order's legal again for 2011. That's the FIA for you, one minute is all good, the next is chaos, always switching things up. You know what never changes? The pure chaos, I mean entertainment in my videos. If you liked this one, go check out this other gem. And as always, thank you for watching."
clip_1256,Frustrated,Frustrated,0.3327,Frustrated,0.5544,High Stress,0.7,71,"What was that? He hit me. I gave him plenty of space. Save it. Nothing he's gonna say, he can make that any better. Just save it. He forced me off. It's an idiot doing. Even one of himself. Did you send a message about the Williams, mate? That was a joke. Yeah, the same, but I've seen an idiot. Magnet and who is and who will always be stupid."
clip_1257,Frustrated,Frustrated,0.4451,Frustrated,0.7419,High Stress,0.75,78,"We need to be in the car, we need a new car. Why the f*** do you know how this seems to me? What I said is going to be a two stopper. What the f***? Come on, this guy is the f***! Get out of the f***! Why? Dvd, engine. Dvd. Yeah! Yuki, we need to push harder on tyres, they are looking good now, we need to open the gap to metal. You can push harder."
clip_1258,Frustrated,Frustrated,0.5534,Frustrated,0.9224,High Stress,0.75,43,"Push flat out. I am shut up! Making out on Mark Webber, you're pulling me in a room parade. What a f***ing idiot! What a f***ing idiot! All the time you have to live a place. What a f***ing idiot!"
clip_1261,Frustrated,Frustrated,0.539,Frustrated,0.8983,High Stress,0.75,60,"What a f***ing idiot! We need a little bit more facekeaming, Sebe is lapping 28,528,5 yourself 28. So is he not stopped yet or? Not yet, not yet. You tell him after you first say to me that you are not in a hurry. Don't f*** me up with this. I'm out! Crash! Somebody hit me in the f***ing rear!"
clip_1262,Frustrated,Frustrated,0.3321,Frustrated,0.5535,High Stress,0.7,63,"Turn 2 and then somebody hit me in the *** again in turn 3 for f*** sake. Ok Kimi, we have now 5 second time penalty that we will serve after the race. So that we'll add 5 seconds to your time after the... Ok Fernando, it's box to overtake, box to overtake. How's the balance? I don't know! No more radio for the rest of the race."
clip_1263,Frustrated,Frustrated,0.3548,Frustrated,0.5913,High Stress,0.75,39,"What is stupid action? I'm going home for you. Cliffs. Ah, cliffs. Steering wheel. Cliffs are steering wheel, yeah. Hey. Hey. Steering wheel. Somebody tell him to give it to me. Come on! Boom! No! That box, that box."
clip_1264,High Stress,Calm,0.4149,Calm,0.6914,High Stress,0.75,444,"Stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out"
clip_1265,Frustrated,High Stress,0.5874,High Stress,0.5123,High Stress,0.7,193,"All the time you have to live and fight! No more radio for the rest of the race! The engine was going much slower than before. Amazing! I tried three times, please Fernando. I tried already, so try yourself. Fernando Alonso is off the track and out of the race. And that is another mechanical DNF. For Fernando Alonso this season, now he's parked the car in the runoff area. Engine, engine. Yeah, couple it. Sorry mate. No worries for that. Ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay"
clip_1266,Frustrated,Frustrated,0.4222,Frustrated,0.7036,High Stress,0.75,100,"I'm going all the way up, how is possible? How? I'm not finished, not tires, we are out of the points. I'm trying to do whatever but I don't care so much about Georgia. At the end you looked quite upset with Petrov when you slowed down alongside him, is that how you feel? Do you feel he was in the way? Well, I tried to pass him once and he protected like last lap in the last race in the championship, fighting both for the championship so it was very aggressive but you know it's the way it is."
clip_1267,Frustrated,Frustrated,0.4497,Frustrated,0.7495,High Stress,0.75,85,"So rises over this crest and then doesn't see we're gonna go in about five seconds Okay, go ahead of them then Six cars in the way all trying to get it out But he is gonna get a little bit of traffic and he's been held up of Sebastian Fettel who was starting his last lap And I think the stewards are gonna have to have a look at that What the f***? That cannot be looved Me neither, mate"
clip_1268,Frustrated,Calm,0.3739,Calm,0.6231,High Stress,0.75,98,"Why did you not tell me about Alonso? No, Alonso too. Yeah, I know. I did say. Fernando, do you think we should do a new set of ints or wets, new ints or wets? I think we should go to the garage. I don't know mate, put whatever tyre you want. You know, the last sector is impossible so, even if you put a rocket ship we will be 11. Fernando Alonso is waiting, Fernando Alonso on the inside of his teammate, forces Fernando Alonso wide and they make contact. The two LPs but managed to keep going."
clip_1269,High Stress,Calm,0.493,Calm,0.8216,Frustrated,0.6,102,"We know Fernando's not been too impressed with Estaban, I've got him striving from time to time. I love the wind as it takes to our side. We go in, it's a decent reaction from George Russell and also from Karl Arsine, who covers over his teammate, Charlotte Klenn, and that could give Lando Norris a bit of a movement as he tries to get down the inside. Russell ahead. I remember in my life I saw a defense like a seven today. On the wall, take two, and now take six. Go by the money, it's the wrong ways. Stay focused."
clip_1271,Frustrated,Calm,0.3942,Calm,0.657,High Stress,0.75,86,"I'm happy you're in the green camp That's a joke Helping the fight in the free practice You were on a flying lap and I couldn't get on the way Yeah, go pick, but the free practice is the moment, so it's good How is the balance? I don't know! Stop, stop, stop And the other William Stroll is just leaving the pit lane now No more radio for the rest of the race Or is the right rear not attached? The right rear wasn't attached"
clip_1272,Frustrated,High Stress,0.3,Calm,0.4355,High Stress,0.75,84,"He was revving it away and they had to sort of bounce it off the jack to get it going. We must save fuel, we must target zero. I don't want, I don't want. We're going to have big problems later if we don't. I already have big problems now. Driving with this and looking like Armator. So I straightened and then I concentrated the fuel. Emilton 3.5, 3.5. Okay, I don't want to know. Okay, I don't want any more radio. Hold the right thing."
clip_1273,Frustrated,Frustrated,0.4543,Frustrated,0.7572,High Stress,0.75,91,"No problem mate, no problem. And there's the two-haster Martin squabbling and behind Fernando Alonso hits his old teammate Lewis Hamilton. He comes Hamilton into the Lacombe Chicanes and they make contact. Hamilton rises up into the air, he's made contact with Fernando Alonso. Stop, stop, stop, stop, stop, stop, stop, stop. Hamilton is out of this race. Yeah, what an idiot, closing the door from the outside. I mean, we had a mega start but this guy only knows how to drive starting first. Getting through there as well. Hamilton there."
clip_1274,Frustrated,Calm,0.4178,Calm,0.6964,High Stress,0.75,109,"Further down the field and look, Nico Rosberg for the second time this race is forcing someone wide. And then he's supposed to now leave him a car's width on the outside which he did. But it's fairly aggressive stuff again from Nico Rosberg. Unfortunately, I think you have to leave the space. All the time you have to leave the space. Okay? He's saying you've got to leave me a space on both sides of the race track. Not what the regulation says, I understand it. Fernando made it pretty clear, he said you have to leave the space. All the time you have to leave the space."
clip_1275,High Stress,Calm,0.3087,Calm,0.5144,High Stress,0.75,108,"Good. Can't get past him as Marcus Ericsson. Now on Fernando Alonso makes that two cars passing Alonso in two laps at the same corner. The same program that brings like a few people. It's this, uh... ...very policy. They're still doing that next year at this time. There's no way Alonso will be doing three years of tolerating that. He'd rather go to Le Mans, or something. He's just so frustrating for him. Now Verstappen's going to start to overhaul him a little bit. This time he is a lot closer. And this time he's going to go for it in the turn one! Verstappen on Alonso!"
clip_1277,Frustrated,High Stress,0.39,High Stress,0.65,Calm,0.65,9,Where is Palma? That's where Palma has retired. Palma!
clip_1278,Frustrated,Frustrated,0.3497,Frustrated,0.5829,High Stress,0.75,96,"Red is his f***ing guy, Blight! For f***ing break, man! What the f***? He's nearly a second clear, 0.9 up after two sectors, Max Verstappen... Box, box, box, box, box, box... I cannot believe that he pulled out of what could have been the pole lap! What the f***? What the f***? The f*** are you guys saying? Unbelievable, mate. I don't get it, what the f*** is this about? You've got a problem, change your f***ing car! Yeah, yeah, yeah, these tyres are already vibrating like a fast-bodied for 300 metres. We'll monitor those."
clip_1279,Frustrated,Frustrated,0.39,Frustrated,0.65,High Stress,0.7,110,"vibrations Max and we'll call you in it before you start to get a little bit too concerned. What a joke mate, I can't even see where I'm going so much vibration. Understood Max, if it's safety concern for you we're happy to box. I'll just visit the dentist after the weekend. It's impossible to drive mate. Why is Daniel sloppy? I don't know, carry on. Come on mate, you need to pick it up otherwise we're not going to get another lap. Let's go. There's no point in me running. Get on with it. Get on with it. Let's at least go one for one. GP what's going on?"
clip_1281,Frustrated,Calm,0.4849,Calm,0.8081,High Stress,0.7,59,"Max, try pressing the DRS after your curbing. Max, I think you may have closed it last time around. You've got a pressing at 50 times before that, but... Kimmy's lap is good though. I mean, we have to suspect they've filmed the engines up. So, the Stappen is three behind you now, the first for Stappen in turn one."
clip_1282,Frustrated,Frustrated,0.4223,Frustrated,0.7038,High Stress,0.75,11,"Yeah, I'm not even gonna say what the f*** happened."
clip_1283,Frustrated,High Stress,0.3,Frustrated,0.4427,High Stress,0.75,97,"What happened? No, I'm not gonna fucking say it, people are blind. Well, there's a spin right in the back, could be Kimi Raikkonen in the Alfa Romeo. Look up there, as Perez is caught by Charles Lacroix, and his three cars got off at turn four. And we've already got high drama here. Yeah, fuck, I couldn't do anything to have fucking taken. More than that, I mean, oh, Max, yeah, Max was completely intact for his car, but just... Look at that. There's not a lot of margin to complete the slow push, Max."
clip_1290,Calm,Calm,0.2753,Calm,0.4589,Frustrated,0.6,5,Leclerc's in the wall at 16.
clip_1291,Frustrated,Frustrated,0.4579,Frustrated,0.7632,High Stress,0.75,114,"Ah, this would have been the f**king lap. F**k it! Hard luck, mate. That was on. Hard luck signs the company as well. This is the battle for P3. The first two as they were, Russell won't give up on this one. Neva will for Stafford, and for Stafford he's shown the wall. What a move, George Russell! And the little tap that sent Max towards the wall, but not into it. Russell checking in. Let's listen in. No, sir. I've got no grip. I'm just locking up. Mate, we all have no grip. You all need to leave a little bit of space. I'd expect the next time the same, you know?"
clip_1292,Calm,Calm,0.2927,Calm,0.4878,High Stress,0.7,100,"He's understeering to my side pod to create a home, you know, and it's a beautiful way of explaining, ah mate, you know, locked up, ah look at the onboard, well, it doesn't make sense. I'm here to fight, I'm here to win, I'm not just going to wave him by because he's Max Verzappen in a red bull. If you're on the inside at the apex of a corner, it's your corner, and if you try and hold it on the outside, you're taking the risk. He was saying that it was his corner because he had the apex."
clip_1293,Frustrated,Frustrated,0.4306,Frustrated,0.7177,High Stress,0.75,97,"Yeah, he's very good at explaining and creating excuses. That was Esteban Ocon. I think when you're a lap behind, you should not be attacking the leader into the apex of turn two. Ocon's on super soft tyres. If he's got the pace, then he is allowed within the regulations to un-lap himself. That is Max Verstappen, the race leader, and he has spun coming down the hill. What a f***ing idiot. What a f***ing idiot. I don't know if anyone needs to comment what happened. You're living space. I don't know what to say, man."
clip_1294,High Stress,High Stress,0.28,Frustrated,0.3727,High Stress,0.7,100,"I do not know what to say about that. I know what to say. I hope he... I can't find him now in the pedo because he is... He's such an idiot. You get taken out while he's being lapped. I don't know what to say. So, I mean, I'm happy for a second, but we should have won today. Obviously, you went to see him after the race as well. What was said, did he try to apologise to you? No, he gave a really stupid response there. So, yeah, I think we're all passionate, so those things happen."
clip_1296,Frustrated,Calm,0.4117,Calm,0.6862,High Stress,0.7,21,"Sonoda's radio is basically a live comedy show. So, let's take a look at some of his best team radio moments."
clip_1298,Calm,High Stress,0.28,Frustrated,0.4525,High Stress,0.7,77,to. Well I want to. Okay do what you need to do. What the f*** is that? Okay unlucky mate is under investigation. Yes f***ing s***. That is not racing. That is not racing. The exciting all the race along isn't it when they've got full fuel loads. When they go to Silverstone Sprint Race and a Spa feature let's go and hear. Not allowed to try and restart the car if the marshals push you.
clip_1299,Frustrated,Frustrated,0.24,Calm,0.3523,Frustrated,0.6,58,"What? Yes! Yes! Good job, UK! Turn in by swine! Well done! Oh, thank you very much! Thank you very much, guys! Yuki, drive us up! Drive us up! Are you kidding me? No! See, Yuki doesn't love the ride, yeah? You best stop! You best stop that day! We are looking at it! P-16, Yuki! Drive us up!"
clip_1300,Frustrated,Frustrated,0.3968,Frustrated,0.6613,High Stress,0.75,72,"Don't spare him! Luis Hamilton, Luis Hamilton, Luis Hamilton! Well I think Yuki Sinaldo feels in some way Luis Hamilton impeded it, which we didn't necessarily see. Okay Yuki, let's push! One step more on tyres, we are good on tyres, we need to call for signs. Push, push! Mate, I am! Look! I can't push it more because there is a car, I'm also at default. I'm not dirty here! Copy."
clip_1301,Calm,Calm,0.3119,Calm,0.5198,High Stress,0.75,36,I'm not coming behind Yuki we need to push harder on tires They are looking good now We need to open the gap to battle You can push harder Push flat out I am shut up
